source_file,canonical_feature,original_column,stored_unit,unit_status,conversion_applied,approved_for_cross_source_merge,evidence_url,review_note
crop yield prediction dataset.csv,p,P,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop yield prediction dataset.csv,k,K,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop yield prediction dataset.csv,soil_moisture,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
crop yield prediction dataset.csv,temperature,temperature,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop yield prediction dataset.csv,rainfall,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
crop-yield.csv,soil_type,soil_type,category,semantic_category_verified,False,False,,Text category normalized for case and whitespace only.
crop-yield.csv,ph,ph,ph_scale,physical_scale_verified,False,False,,PH is dimensionless and retained without conversion.
crop-yield.csv,n,n,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop-yield.csv,p,p,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop-yield.csv,k,k,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop-yield.csv,soil_moisture,soil_moisture,percent_like_scale,inferred_not_approved,False,False,,"Values resemble percent soil moisture, but no source documentation was found."
crop-yield.csv,temperature,temperature,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop-yield.csv,rainfall,rainfall,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_data.csv,soil_type,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
crop_data.csv,ph,ph,ph_scale,physical_scale_verified,False,False,,PH is dimensionless and retained without conversion.
crop_data.csv,n,n,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_data.csv,p,p,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_data.csv,k,k,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_data.csv,soil_moisture,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
crop_data.csv,temperature,temperature,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_data.csv,rainfall,rainfall,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_yield.csv,soil_type,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
crop_yield.csv,ph,ph,ph_scale,physical_scale_verified,False,False,,PH is dimensionless and retained without conversion.
crop_yield.csv,n,n,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_yield.csv,p,p,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_yield.csv,k,k,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_yield.csv,soil_moisture,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
crop_yield.csv,temperature,temperature,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
crop_yield.csv,rainfall,rainfall,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
data_core.csv,soil_type,soil_type,category,semantic_category_verified,False,False,,Text category normalized for case and whitespace only.
data_core.csv,ph,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
data_core.csv,n,n,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
data_core.csv,p,p,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
data_core.csv,k,k,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
data_core.csv,soil_moisture,soil_moisture,percent_like_scale,inferred_not_approved,False,False,,"Values resemble percent soil moisture, but no source documentation was found."
data_core.csv,temperature,temperature,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
data_core.csv,rainfall,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
original_dataset.csv,soil_type,soil_type,category,semantic_category_verified,False,False,,Text category normalized for case and whitespace only.
original_dataset.csv,ph,ph,ph_scale,physical_scale_verified,False,False,,PH is dimensionless and retained without conversion.
original_dataset.csv,n,n,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
original_dataset.csv,p,p,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
original_dataset.csv,k,k,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
original_dataset.csv,soil_moisture,,not_available,not_available,False,False,,Feature is not present in the canonical source mapping.
original_dataset.csv,temperature,temperature,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
original_dataset.csv,rainfall,rainfall,unknown,unverified_no_conversion,False,False,,The local file does not provide a trustworthy unit definition.
